Dataset, status, init_bound, generated, expanded, cost, time
Datasets/FIVE.txt,FIN,23,26,15,19,0
Datasets/P01.txt,FIN,732,5988,1189,291,223
Datasets/GR17.txt,FIN,4984,3577528,435158,2085,181854
Datasets/FRI26.txt,FIN,2564,2086889,131479,937,370958
Datasets/DANTZIG42.txt,TIMEOUT,3184,1301683,46867,699,600000
Datasets/ATT48.txt,TIMEOUT,140019,7566248,791422,102016,600000
Datasets/berlin52.txt,TIMEOUT,23870,13397043,2467421,13244,600000
Datasets/st70.txt,TIMEOUT,3112,3904658,294319,1542,600000
Datasets/pr76.txt,TIMEOUT,474434,4474447,383899,77505,600000
Datasets/eil101.txt,TIMEOUT,4622,4501933,507006,1260,600000
Datasets/bier127.txt,TIMEOUT,384824,5654069,1020633,216229,600000
